Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,129979107,01/10/2025 16:33,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,2.98,0,"Cash Adjustment-Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,122424792,01/10/2025 16:25,01/10/2025 16:30,USOUSD,Buy,0.020,0.00000,0.00000,61.80000,61.65000,0.0000,0.0000,-15.0,-2.98,-1.66,"",0,00:00:04:52,,,,,,,,,,,,
,123263138,23/09/2025 11:46,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,17.90,0,"Cash Adjustment-Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,132669990,22/09/2025 20:40,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3745.84000,3769.88000,0.0000,0.0000,-2404.0,-24.04,-12.92,"",0,00:15:04:37,24.1,3h 38m,4131.0,4.54,746.0,7.46,-3385.0,-33.85,18.1,23.7,-3150.00,-31.50
,132726969,22/09/2025 20:12,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3739.75000,3770.11000,0.0000,0.0000,-3036.0,-30.36,-18.01,"",0,00:15:31:12,1.7,15m,4131.0,29.15,137.0,1.37,-3994.0,-39.94,3.3,23.2,-3173.00,-31.73
,132092215,22/09/2025 09:28,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3705.53000,3770.11000,0.0000,0.0000,-6458.0,-64.58,-27.70,"",0,01:02:15:46,0.0,0s,7416.0,10000.00,0.0,0.0,-7416.0,-74.16,0.0,12.9,-6458.00,-64.58
,132743845,22/09/2025 20:45,23/09/2025 11:44,XAUUSD,Buy,0.020,0.00000,0.00000,3745.82000,3769.80000,0.0000,0.0000,2398.0,47.96,34.71,"",0,00:14:59:00,75.9,11h 22m,2018.0,0.22,3387.0,67.74,-744.0,-14.88,82.0,76.1,-989.00,-19.78
,131876031,22/09/2025 04:16,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3695.98000,3770.12000,0.0000,0.0000,-7414.0,-74.14,-29.91,"",0,01:07:27:45,2.7,50m,8871.0,16.75,500.0,5.0,-8371.0,-83.71000000000001,5.6,10.8,-7914.00,-79.14
,131836164,22/09/2025 03:48,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3689.28000,3770.12000,0.0000,0.0000,-8084.0,-80.84,-24.59,"",0,01:07:55:37,0.0,0s,9041.0,10000.00,0.0,0.0,-9041.0,-90.41,0.0,10.6,-8084.00,-80.84
,131478855,19/09/2025 17:53,23/09/2025 11:44,XAUUSD,Sell,0.010,0.00000,0.00000,3666.49000,3770.07000,0.0000,0.0000,-10358.0,-103.58,-23.96,"",0,03:17:50:10,0.0,0s,11320.0,0.00,0.0,0.0,-11320.0,-113.2,0.0,8.5,-10358.00,-103.58
,132727041,22/09/2025 20:13,23/09/2025 11:44,XAUUSD,Buy,0.020,0.00000,0.00000,3740.18000,3769.88000,0.0000,0.0000,2970.0,59.40,34.19,"",0,00:15:30:57,97.0,15h 3m,2018.0,0.05,3951.0,79.02,-180.0,-3.6,95.6,76.3,-981.00,-19.62
