Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,292816673,19/03/2026 16:15,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,527.93,0,"Cash Adjustment-Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,302787002,19/03/2026 15:42,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4598.15000,4535.17000,0.0000,0.0000,-6298.0,-6298.00,-109.14,"[so -57.37%/-527.56/919.63]",0,00:00:05:32,0.0,0s,6298.0,10000.00,0.0,0.0,-6298.0,-6298.0,0.0,0.0,-6298.00,-6298.00
,302778528,19/03/2026 15:34,19/03/2026 15:47,XAUUSD,Buy,2.000,0.00000,0.00000,4605.48000,4535.17000,0.0000,0.0000,-7031.0,-14062.00,-70.90,"[so -14.31%/-527.56/3687.00]",0,00:00:13:31,0.0,0s,7031.0,10000.00,0.0,0.0,-7031.0,-14062.0,0.0,0.0,-7031.00,-14062.00
,302749931,19/03/2026 15:10,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4625.88000,4535.17000,0.0000,0.0000,-9071.0,-9071.00,-31.38,"[so -28.60%/-527.56/1844.81]",0,00:00:37:22,2.8,1m,9228.0,57.80,157.0,157.0,-9071.0,-9071.0,1.7,0.0,-9228.00,-9228.00
,302413331,19/03/2026 09:46,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4775.01000,4535.17000,0.0000,0.0000,-23984.0,-23984.00,-45.35,"[so -11.36%/-527.56/4642.00]",0,00:06:01:34,0.0,0s,26916.0,0.00,0.0,0.0,-26916.0,-26916.0,0.0,10.9,-23984.00,-23984.00
,302384773,19/03/2026 09:35,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4801.90000,4538.40000,0.0000,0.0000,-26350.0,-26350.00,-33.25,"[so 19.41%/1087.44/5602.38]",0,00:06:12:40,0.0,0s,29605.0,0.00,0.0,0.0,-29605.0,-29605.0,0.0,11.0,-26350.00,-26350.00
,302556183,19/03/2026 11:40,19/03/2026 15:47,XAUUSD,Buy,2.000,0.00000,0.00000,4699.38000,4538.92000,0.0000,0.0000,-16046.0,-32092.00,-28.83,"[so 18.70%/1399.44/7482.13]",0,00:04:07:02,0.0,0s,19353.0,0.00,0.0,0.0,-19353.0,-38706.0,0.0,17.1,-16046.00,-32092.00
,301722876,18/03/2026 15:43,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4879.31000,4538.92000,0.0000,0.0000,-34039.0,-34039.00,-23.42,"[so 16.55%/1399.44/8457.99]",0,01:00:04:37,8.4,2h 1m,36256.0,17.95,1915.0,1915.0,-34341.0,-34341.0,5.3,0.8,-35954.00,-35954.00
,301654861,18/03/2026 15:01,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4923.61000,4538.92000,0.0000,0.0000,-38469.0,-38469.00,-20.93,"[so 14.82%/1399.44/9442.72]",0,01:00:46:06,0.0,0s,38771.0,0.00,0.0,0.0,-38771.0,-38771.0,0.0,0.8,-38469.00,-38469.00
,301564254,18/03/2026 14:27,19/03/2026 15:47,XAUUSD,Buy,1.000,0.00000,0.00000,4947.12000,4538.92000,0.0000,0.0000,-40820.0,-40820.00,-18.17,"[so 13.41%/1399.44/10432.14]",0,01:01:20:23,0.0,0s,41122.0,0.00,0.0,0.0,-41122.0,-41122.0,0.0,0.7,-40820.00,-40820.00
