Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,184604272,08/05/2026 15:12,08/05/2026 18:18,XAUUSD,Buy,0.010,0.00000,0.00000,4705.72000,4704.51000,0.0000,0.0000,-121.0,-1.21,-39.16,"[so 19.98%/1.88/9.41]",0,00:03:06:27,92.4,2h 52m,4309.0,0.03,4188.0,41.88,-121.0,-1.21,97.2,0.0,-4309.00,-43.09
,184509831,08/05/2026 09:33,08/05/2026 18:14,XAUUSD,Buy,0.010,0.00000,0.00000,4730.21000,4706.10000,0.0000,0.0000,-2411.0,-24.11,-88.64,"[so 18.32%/5.19/28.33]",0,00:08:41:01,8.9,46m,4155.0,1.45,1739.0,17.39,-2528.0,-25.28,40.8,2.7,-4150.00,-41.50
,184509829,08/05/2026 09:33,08/05/2026 18:14,XAUUSD,Buy,0.010,0.00000,0.00000,4730.02000,4706.30000,0.0000,0.0000,-2372.0,-23.72,-46.58,"[so 19.45%/3.67/18.87]",0,00:08:41:02,8.9,46m,4155.0,1.43,1758.0,17.580000000000002,-2509.0,-25.09,41.2,3.2,-4130.00,-41.30
,184678986,08/05/2026 17:04,08/05/2026 18:14,XAUUSD,Buy,0.010,0.00000,0.00000,4742.40000,4707.50000,0.0000,0.0000,-3490.0,-34.90,-40.67,"[so 19.75%/7.47/37.82]",0,00:01:09:51,0.0,0s,3635.0,5000.00,0.0,0.0,-3635.0,-36.35,0.0,4.0,-3490.00,-34.90
,184460740,08/05/2026 05:56,08/05/2026 09:33,XAUUSD,Sell,0.010,0.00000,0.00000,4715.63000,4730.03000,0.0000,0.0000,-1440.0,-14.40,-14.37,"",0,00:03:36:51,33.4,1h 12m,2325.0,1.99,885.0,8.85,-1757.0,-17.57,33.5,12.0,-2325.00,-23.25
,184450993,08/05/2026 05:20,08/05/2026 05:36,XAUUSD,Sell,0.010,0.00000,0.00000,4721.40000,4710.53000,0.0000,0.0000,1087.0,10.87,12.17,"",0,00:00:16:24,,,,,,,,,,,,
,184438070,08/05/2026 04:48,08/05/2026 05:16,XAUUSD,Buy,0.010,4720.48000,0.00000,4717.68000,4720.48000,0.0000,0.0000,280.0,2.80,3.24,"[sl 4720.48]",0,00:00:27:47,,,,,,,,,,,,
,184383507,08/05/2026 02:21,08/05/2026 03:37,XAUUSD,Buy,0.010,0.00000,0.00000,4696.59000,4703.24000,0.0000,0.0000,665.0,6.65,8.32,"",0,00:01:16:00,100.0,1h 16m,1083.0,0.00,1748.0,17.48,0.0,0.0,100.0,38.0,-1083.00,-10.83
,184229901,07/05/2026 18:04,07/05/2026 21:21,XAUUSD,Sell,0.010,0.00000,0.00000,4758.66000,4710.29000,0.0000,0.0000,4837.0,48.37,153.41,"",0,00:03:16:56,100.0,3h 16m,1367.0,0.00,5937.0,59.370000000000005,0.0,0.0,100.0,81.5,-1100.00,-11.00
,184229111,07/05/2026 18:02,07/05/2026 18:04,XAUUSD,Buy,0.010,0.00000,0.00000,4759.78000,4758.48000,0.0000,0.0000,-130.0,-1.30,-3.96,"",0,00:00:01:42,,,,,,,,,,,,
,184190483,07/05/2026 16:55,07/05/2026 18:02,XAUUSD,Buy,0.010,0.00000,0.00000,4746.35000,4760.42000,0.0000,0.0000,1407.0,14.07,75.00,"",0,00:01:06:51,20.0,13m,3141.0,2.23,1407.0,14.07,-3141.0,-31.41,30.9,100.0,0.00,0.00
,184171792,07/05/2026 16:33,07/05/2026 16:51,XAUUSD,Buy,0.100,0.00000,0.00000,4752.92000,4739.34000,0.0000,0.0000,-1358.0,-135.80,-87.86,"[so 19.73%/18.76/95.06]",0,00:00:18:31,,,,,,,,,,,,
,184171448,07/05/2026 16:33,07/05/2026 16:47,XAUUSD,Buy,0.100,0.00000,0.00000,4753.54000,4741.18000,0.0000,0.0000,-1236.0,-123.60,-44.43,"[so 19.54%/37.16/190.13]",0,00:00:14:26,,,,,,,,,,,,
