Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,231716840,23/03/2026 02:35,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-297.34,0,"Credit Out",0,00:00:00:00,,,,,,,,,,,,
,231716837,23/03/2026 02:35,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,297.34,0,"EXP06",0,00:00:00:00,,,,,,,,,,,,
,216157978,20/03/2026 20:50,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4504.27000,4395.98000,0.0000,-3.0900,-10829.0,-122.21,-97.87,"[so 16.10%/2.66/16.52]",0,02:05:44:35,0.0,0s,10829.0,0.00,0.0,0.0,-10829.0,-108.29,0.0,0.0,-10829.00,-108.29
,216157900,20/03/2026 20:50,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4504.27000,4395.98000,0.0000,-3.0900,-10829.0,-122.21,-49.46,"[so 5.93%/1.96/33.03]",0,02:05:44:35,0.0,0s,10829.0,0.00,0.0,0.0,-10829.0,-108.29,0.0,0.0,-10829.00,-108.29
,216069022,20/03/2026 16:08,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4606.68000,4395.66000,0.0000,-3.0900,-21102.0,-235.21,-48.77,"[so 3.93%/1.96/49.92]",0,02:10:26:31,0.0,0s,21102.0,0.00,0.0,0.0,-21102.0,-211.02,0.0,0.0,-21102.00,-211.02
,216068693,20/03/2026 16:02,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4613.65000,4395.66000,0.0000,-3.0900,-21799.0,-242.88,-33.49,"[so 2.93%/1.96/66.84]",0,02:10:32:40,0.0,0s,21799.0,0.00,0.0,0.0,-21799.0,-217.99,0.0,0.0,-21799.00,-217.99
,215850116,20/03/2026 11:35,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4678.81000,4395.81000,0.0000,-3.0900,-28300.0,-314.39,-30.24,"[so 2.74%/2.77/101.11]",0,02:15:00:08,0.0,0s,28300.0,0.00,0.0,0.0,-28300.0,-283.0,0.0,0.0,-28300.00,-283.00
,215830863,20/03/2026 11:47,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4666.76000,4395.66000,0.0000,-3.0900,-27110.0,-301.30,-22.47,"[so 3.30%/2.77/83.95]",0,02:14:47:15,0.0,0s,27110.0,0.00,0.0,0.0,-27110.0,-271.1,0.0,0.0,-27110.00,-271.10
,215771683,20/03/2026 10:05,23/03/2026 02:35,GOLD,Buy,1.100,0.00000,0.00000,4705.09000,4398.83000,0.0000,-3.0900,-30626.0,-339.98,-20.23,"[so 19.19%/25.74/134.10]",0,02:16:30:00,0.0,0s,30626.0,0.00,0.0,0.0,-30626.0,-306.26,0.0,0.0,-30626.00,-306.26
,215631694,20/03/2026 06:22,23/03/2026 02:35,GOLD,Buy,1.000,0.00000,0.00000,4722.68000,4395.81000,0.0000,-2.8100,-32687.0,-329.68,-16.40,"[so 2.37%/2.77/116.85]",0,02:20:12:30,0.0,0s,32687.0,0.00,0.0,0.0,-32687.0,-326.87,0.0,0.0,-32687.00,-326.87
,216103435,20/03/2026 16:26,23/03/2026 00:03,GOLD,Sell,1.100,0.00000,0.00000,4557.83000,4456.69000,0.0000,0.0000,10114.0,111.25,5.86,"",0,02:07:37:26,100.0,2d 7h ,0.0,0.00,10114.0,101.14,0.0,0.0,100.0,100.0,0.00,0.00
,216201354,20/03/2026 18:22,20/03/2026 22:08,GOLD,Sell,1.100,0.00000,0.00000,4607.63000,4496.50000,0.0000,0.0000,11113.0,122.24,6.88,"",0,00:03:46:55,,,,,,,,,,,,
,216106649,20/03/2026 16:28,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4505.90000,4557.35000,4505.73000,0.0000,0.0000,5162.0,56.78,3.30,"[tp 4505.90]",0,00:04:22:00,,,,,,,,,,,,
,216105324,20/03/2026 16:30,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4505.30000,4570.13000,4504.27000,0.0000,0.0000,6586.0,72.45,4.40,"[tp 4505.30]",0,00:04:20:15,,,,,,,,,,,,
,216103430,20/03/2026 16:26,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4504.58000,4557.92000,4504.27000,0.0000,0.0000,5365.0,59.02,3.71,"[tp 4504.58]",0,00:04:24:23,,,,,,,,,,,,
,216103417,20/03/2026 16:26,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4505.12000,4557.25000,4504.27000,0.0000,0.0000,5298.0,58.28,3.81,"[tp 4505.12]",0,00:04:24:24,,,,,,,,,,,,
,216173453,20/03/2026 17:49,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4506.00000,4547.42000,4505.94000,0.0000,0.0000,4148.0,45.63,3.07,"[tp 4506.00]",0,00:03:00:58,,,,,,,,,,,,
,216122180,20/03/2026 16:44,20/03/2026 20:50,GOLD,Sell,1.100,0.00000,4506.47000,4576.47000,4506.46000,0.0000,0.0000,7001.0,77.01,5.47,"[tp 4506.47]",0,00:04:05:33,,,,,,,,,,,,
,216090089,20/03/2026 16:17,20/03/2026 16:37,GOLD,Buy,1.100,0.00000,0.00000,4575.15000,4576.96000,0.0000,0.0000,181.0,1.99,0.14,"",0,00:00:20:05,,,,,,,,,,,,
,215906688,20/03/2026 12:51,20/03/2026 16:02,GOLD,Sell,1.100,0.00000,0.00000,4645.33000,4611.05000,0.0000,0.0000,3428.0,37.71,2.76,"",0,00:03:10:48,,,,,,,,,,,,
,215904576,20/03/2026 12:41,20/03/2026 16:02,GOLD,Sell,1.100,0.00000,0.00000,4663.74000,4611.82000,0.0000,0.0000,5192.0,57.11,4.36,"",0,00:03:20:57,,,,,,,,,,,,
,215718024,20/03/2026 12:20,20/03/2026 12:41,GOLD,Buy,1.100,0.00000,0.00000,4648.95000,4664.14000,0.0000,0.0000,1519.0,16.71,1.29,"",0,00:00:20:48,,,,,,,,,,,,
,215899457,20/03/2026 12:34,20/03/2026 12:39,GOLD,Sell,1.100,4668.06000,0.00000,4650.32000,4668.22000,0.0000,0.0000,-1790.0,-19.69,-1.50,"[sl 4668.06]",0,00:00:04:54,,,,,,,,,,,,
,215756783,20/03/2026 09:42,20/03/2026 11:34,GOLD,Sell,1.100,0.00000,0.00000,4696.42000,4679.28000,0.0000,0.0000,1714.0,18.85,1.46,"",0,00:01:52:42,,,,,,,,,,,,
,215747332,20/03/2026 09:26,20/03/2026 11:34,GOLD,Sell,1.100,0.00000,0.00000,4685.36000,4679.30000,0.0000,0.0000,606.0,6.67,0.52,"",0,00:02:08:13,,,,,,,,,,,,
,215767700,20/03/2026 09:58,20/03/2026 11:04,GOLD,Sell,1.100,0.00000,0.00000,4707.30000,4688.57000,0.0000,0.0000,1873.0,20.60,1.62,"",0,00:01:05:37,,,,,,,,,,,,
,215638925,20/03/2026 08:38,20/03/2026 09:42,GOLD,Buy,1.100,0.00000,0.00000,4673.34000,4696.45000,0.0000,0.0000,2311.0,25.42,2.05,"",0,00:01:03:57,,,,,,,,,,,,
,215622578,20/03/2026 05:53,20/03/2026 06:12,GOLD,Sell,1.100,0.00000,0.00000,4725.28000,4719.88000,0.0000,0.0000,540.0,5.94,0.48,"",0,00:00:19:03,,,,,,,,,,,,
,215601371,20/03/2026 05:12,20/03/2026 05:52,GOLD,Buy,1.100,0.00000,0.00000,4721.12000,4726.27000,0.0000,0.0000,515.0,5.67,0.46,"",0,00:00:40:50,,,,,,,,,,,,
,215557020,20/03/2026 03:46,20/03/2026 05:07,GOLD,Buy,1.100,0.00000,0.00000,4699.27000,4717.01000,0.0000,0.0000,1774.0,19.51,1.61,"",0,00:01:21:00,,,,,,,,,,,,
,215556843,20/03/2026 03:46,20/03/2026 04:16,GOLD,Sell,1.100,0.00000,0.00000,4695.97000,4688.32000,0.0000,0.0000,765.0,8.42,0.70,"",0,00:00:30:34,,,,,,,,,,,,
,215555214,20/03/2026 03:44,20/03/2026 04:16,GOLD,Sell,1.100,0.00000,0.00000,4688.52000,4688.18000,0.0000,0.0000,34.0,0.37,0.03,"",0,00:00:32:04,,,,,,,,,,,,
,215481443,20/03/2026 00:06,20/03/2026 03:44,GOLD,Buy,1.000,0.00000,0.00000,4663.58000,4682.50000,0.0000,0.0000,1892.0,18.92,1.60,"",0,00:03:37:14,,,,,,,,,,,,
